dataset,MAE_mean,MAE_ci,MSE_mean,MSE_ci,RMSE_mean,RMSE_ci,R2_mean,R2_ci,MAPE_mean,MAPE_ci
descriptors_only.csv,0.5229567439645741,0.00815263194984045,0.47681693291065796,0.01945113194088983,0.6903682504632114,0.014154527232194325,0.8376293951061031,0.006219783491134941,6.13337994945215,0.13085810089898775
raw_descs_and_ratios.csv,0.4644192521991858,0.0076532444350150535,0.37980533362864094,0.01650164146840543,0.6161324715800949,0.013369408885661616,0.8706010907323964,0.006529849260535606,5.486662655010075,0.09424598383473934
raw_descs_and_interactions.csv,0.48053467650755755,0.009202719552738835,0.40159980487803926,0.014606835917190523,0.6336095666969928,0.011542464299795697,0.8632132538201425,0.005349316167264406,5.671244425535939,0.12989794274750907
transforms_and_interactions.csv,0.48053467650755755,0.009202719552738822,0.4015998048780392,0.014606835917190555,0.6336095666969928,0.011542464299795697,0.8632132538201425,0.005349316167264406,5.671244425535939,0.1298979427475089
transforms_and_ratios.csv,0.46319215975485006,0.008141706374336827,0.37860801208580247,0.016692711411897834,0.6151553596440305,0.013575585504124356,0.8709951648129032,0.006820635499461918,5.461850853666778,0.09960587223723388
raw_descs_and_transforms.csv,0.5279011984959676,0.0063752805358026614,0.48404520374261084,0.015676627218385707,0.6956383284997172,0.01128148421117628,0.8351293360993413,0.005878632346032257,6.190515178037442,0.10324846334937711
ratios_only.csv,0.4622394203955646,0.008793116613082911,0.3775435900678599,0.01706475495397624,0.6142826260787262,0.013874715463846492,0.8713676501390492,0.006754450885676691,5.4524431436071215,0.10790421003773057
interactions_only.csv,0.48053467650755766,0.00920271955273884,0.40159980487803926,0.014606835917190548,0.6336095666969928,0.011542464299795677,0.8632132538201425,0.005349316167264406,5.671244425535939,0.1298979427475089
transformations_only.csv,0.5262786787446312,0.00736082919545524,0.482221538742947,0.018254064699341918,0.6942921725362977,0.013145080791802531,0.8357674995348839,0.00627191232414441,6.172659775836899,0.11220036525148484
all_4_combined.csv,0.4663860413550441,0.008260626597709844,0.3845870963610017,0.01323548728910643,0.6200551298497522,0.010678506853089083,0.8689574783226206,0.00597753033428722,5.499503594081017,0.11527358160577052
interactions_and_ratios.csv,0.4665186433908774,0.008316184852807669,0.3845493306378433,0.012440603872861609,0.620035769122852,0.010040847100328675,0.8689760778366192,0.00566393907875376,5.5000417119008045,0.11772063758724369
