dataset,MAE_mean,MAE_ci,MSE_mean,MSE_ci,RMSE_mean,RMSE_ci,R2_mean,R2_ci,MAPE_mean,MAPE_ci
descriptors_only.csv,0.8008936719254155,0.012496338077271015,1.0546899736899091,0.04842429578074664,1.026704222457647,0.023364590981999087,0.6406931347947525,0.01875133609145738,9.715616482245228,0.11191805379302634
raw_descs_and_ratios.csv,0.529840407424115,0.008249217794922825,0.48382457961284747,0.017199211284261207,0.6954603323222037,0.012376968541760378,0.8351407837869733,0.007698395740422013,6.299665065202804,0.09988163845272939
raw_descs_and_interactions.csv,0.6133866647687263,0.010100808709350338,0.6390554638751651,0.02943317640815571,0.799188080701672,0.018435348333484914,0.7821076208192779,0.014308444929991082,7.450175170524055,0.0849292368719303
transforms_and_interactions.csv,0.6133866647687263,0.010100808709350338,0.6390554638751651,0.02943317640815571,0.799188080701672,0.018435348333484914,0.7821076208192779,0.014308444929991082,7.450175170524055,0.0849292368719303
transforms_and_ratios.csv,0.5262868386870967,0.00828999346921143,0.47864682235297823,0.013433704843181954,0.6917721852623429,0.009704773812279592,0.8369504922846837,0.00568851082729109,6.266655804279509,0.12577738990137743
raw_descs_and_transforms.csv,0.7248854066020677,0.00854309419865846,0.8619051139535376,0.02654916623609511,0.9282754388302863,0.014195583915611267,0.7063945420257728,0.011006044757242718,8.670623577521335,0.08561020015594106
ratios_only.csv,0.5245843858284458,0.008109908029230088,0.4746755802459927,0.014632499811653977,0.688881860068008,0.010616757314305891,0.838276226452549,0.006627639801320056,6.255934840899468,0.09803987061188531
interactions_only.csv,0.6133866647687263,0.010100808709350338,0.6390554638751651,0.02943317640815571,0.799188080701672,0.018435348333484914,0.7821076208192779,0.014308444929991082,7.450175170524055,0.0849292368719303
transformations_only.csv,0.7161708873621287,0.010209532192293612,0.8467489725662414,0.03031292075470852,0.9200386733791728,0.016334340991830183,0.7115497163220554,0.01217847125892062,8.554578166282731,0.12415746817404195
all_4_combined.csv,0.5141945686820283,0.004941057552254701,0.4592853665976812,0.005260181589260019,0.6776944001143371,0.0038789498522807373,0.8435525799831531,0.003493169209656568,6.105294672314154,0.08903054488420398
interactions_and_ratios.csv,0.5148853556905173,0.004834469586037541,0.45937673783313837,0.004729055266563906,0.6777640205370007,0.0034883455722628507,0.8435139092721103,0.0037203069495524636,6.108036827997988,0.09125068748192126
