dataset,MAE_mean,MAE_ci,RMSE_mean,RMSE_ci,R2_mean,R2_ci,MAPE_mean,MAPE_ci
descriptors_only.csv,0.8007607678478781,0.012774087408547154,1.0265222296735494,0.023500764051681288,0.6408169072467814,0.018857217576830114,9.713964662315412,0.11503221297114194
raw_descs_and_ratios.csv,0.5296059693416002,0.008433278085765002,0.6957268532586113,0.01254552017606904,0.8350037254544688,0.007922834200995724,6.306841999576596,0.10083678454371667
raw_descs_and_interactions.csv,0.6124726211677425,0.01028674148620441,0.799280221561333,0.01888959196968709,0.7820477441663206,0.014559032226661078,7.4339761166409435,0.08569352851936221
transforms_and_interactions.csv,0.6124726211677425,0.01028674148620441,0.799280221561333,0.01888959196968709,0.7820477441663206,0.014559032226661078,7.4339761166409435,0.08569352851936221
transforms_and_ratios.csv,0.525462403108633,0.008032719880645035,0.6922500964871782,0.009559956246696059,0.8367248042848644,0.005663625712316793,6.26282276075716,0.11982846879757837
raw_descs_and_transforms.csv,0.724766133760545,0.008424132987953732,0.9283830252172439,0.013895394280975939,0.7063289513088552,0.01086476879996002,8.66794077528451,0.08566346176433703
ratios_only.csv,0.5240340051267292,0.00752077397128316,0.689358243635912,0.010083769620337324,0.8380447324026408,0.006708328303024363,6.258333753767315,0.0862066815357503
interactions_only.csv,0.6124726211677425,0.01028674148620441,0.799280221561333,0.01888959196968709,0.7820477441663206,0.014559032226661078,7.4339761166409435,0.08569352851936221
transformations_only.csv,0.7164465337299448,0.010099851722695544,0.9199738295124895,0.016108680674756303,0.7115904394491761,0.01210962503914146,8.562436672023287,0.12323120037615241
all_4_combined.csv,0.510560968213188,0.0045872336891862545,0.6742977189152949,0.005519998865749398,0.8451171546206281,0.0036971716907629785,6.060186867314144,0.07999665497754649
interactions_and_ratios.csv,0.5109012484176791,0.00473209650965296,0.6744112369719749,0.004641545706219646,0.8450698829140555,0.003366948276797771,6.06220890988119,0.08565488168021923
