dataset,MAE_mean,MAE_ci,MSE_mean,MSE_ci,RMSE_mean,RMSE_ci,R2_mean,R2_ci,MAPE_mean,MAPE_ci
descriptors_only.csv,0.8007613156696616,0.012771827412099623,1.054318870251277,0.04871075195651919,1.026520160323379,0.02350428822968434,0.6408182513266414,0.018860053924815635,9.71393406648883,0.115039516576184
raw_descs_and_ratios.csv,0.5297795132648881,0.008201163299300306,0.4843530543997727,0.016868152380292083,0.6958443823332787,0.012147651459481209,0.8349550522731896,0.007725369236163045,6.304874757226196,0.09807611270433382
raw_descs_and_interactions.csv,0.6125288576588586,0.010081056508333705,0.6393528647280562,0.030656196606683013,0.7993559336870588,0.019177876562744545,0.7819982992618048,0.014735898399622497,7.435886579515814,0.08282932621616246
transforms_and_interactions.csv,0.6125288576588586,0.010081056508333705,0.6393528647280562,0.030656196606683013,0.7993559336870588,0.019177876562744545,0.7819982992618048,0.014735898399622497,7.435886579515814,0.08282932621616246
transforms_and_ratios.csv,0.5259335038028911,0.008421155727515568,0.479780502469234,0.013523189421262979,0.6925901765382388,0.009768089814258057,0.8365604578101623,0.005813417822250514,6.268238439108525,0.12464487254347485
raw_descs_and_transforms.csv,0.7247603174471877,0.008434613016630774,0.8620693045281176,0.026029791206491713,0.9283682902053091,0.013915388155595551,0.7063377855517963,0.010882279368728945,8.667875432497684,0.08568468513705367
ratios_only.csv,0.5242498823518738,0.007863877157852894,0.47591539584722026,0.014448896090285313,0.6897831779107956,0.01048935703898277,0.8378459906906659,0.0067539303877736,6.260079727743458,0.08940265447347999
interactions_only.csv,0.6125288576588586,0.010081056508333705,0.6393528647280562,0.030656196606683013,0.7993559336870588,0.019177876562744545,0.7819982992618048,0.014735898399622497,7.435886579515814,0.08282932621616246
transformations_only.csv,0.7164660998663298,0.010172899473380596,0.8466661263999675,0.02999399607806377,0.9199967894194909,0.016163579957034446,0.7115754688674045,0.012139074878664075,8.561970047001132,0.12326787028091485
all_4_combined.csv,0.5109882491356806,0.004806611426732143,0.4550280648179806,0.006508670702246523,0.674539634050938,0.0048355738724477825,0.8450058733510684,0.003598952587928984,6.0668168509679266,0.0843055555401786
interactions_and_ratios.csv,0.5113122068533165,0.005007045800876896,0.45500979913935324,0.005616242342657585,0.6745306905405165,0.004174691679500727,0.8450143647815042,0.0033286140324709714,6.068192047382697,0.09093878994106493
