dataset,MAE_mean,MAE_ci,MSE_mean,MSE_ci,RMSE_mean,RMSE_ci,R2_mean,R2_ci,MAPE_mean,MAPE_ci
descriptors_only.csv,0.6031190167463845,0.007675824563669817,0.6255085971430342,0.01749864596063366,0.7908089684986204,0.011163937243153175,0.7869945357978311,0.005255940513671317,7.075810222022973,0.13074999899728917
raw_descs_and_ratios.csv,0.5651383492188076,0.009749498714287234,0.5563179004875576,0.0237474719045598,0.7456925647726731,0.01581719181239509,0.8105174746882039,0.00857013855667263,6.691801421538164,0.13561347652548822
raw_descs_and_interactions.csv,0.5785019490562167,0.010238307660994508,0.5771966814356254,0.025163648679438592,0.7595473923427262,0.016528048530880482,0.803321854823327,0.01047562948268868,6.835861476590466,0.11338634289337039
transforms_and_interactions.csv,0.5785019490562167,0.010238307660994508,0.5771966814356254,0.025163648679438592,0.7595473923427262,0.016528048530880482,0.803321854823327,0.01047562948268868,6.835861476590466,0.11338634289337039
transforms_and_ratios.csv,0.5645666333724366,0.009293813000856849,0.5491920202711743,0.016734059720572007,0.7409845455089303,0.011341085221852667,0.812969901986796,0.005526551965261426,6.683360601369381,0.13272667721369605
raw_descs_and_transforms.csv,0.6049843131744134,0.00938519973620018,0.628743190600586,0.018857154075338188,0.7928387348553959,0.011999743388397016,0.7858887433631008,0.005902464212735067,7.112743816103436,0.15909288547572228
ratios_only.csv,0.5640013231126456,0.008953368557716305,0.5464303543604188,0.015891990647859098,0.7391274140844044,0.010780895741589783,0.8139095698091161,0.005269747546024278,6.675468540683139,0.1283440367951818
interactions_only.csv,0.5785019490562167,0.010238307660994508,0.5771966814356254,0.025163648679438592,0.7595473923427262,0.016528048530880482,0.803321854823327,0.01047562948268868,6.835861476590466,0.11338634289337039
transformations_only.csv,0.6035245995555958,0.0064890757913692535,0.6244235804169362,0.01508454215982935,0.7901442490285085,0.009584286974193307,0.7873322495363734,0.005511356778513468,7.094990318416154,0.12792753594429881
all_4_combined.csv,0.5723953505217294,0.0074534825510351975,0.5705035933764135,0.022401993068010946,0.755165033930215,0.014841902011852714,0.8055346904814884,0.01097913623655994,6.749876079495282,0.11070596312321199
interactions_and_ratios.csv,0.5715242191295752,0.008268867232156162,0.5682226182995157,0.02267753549368865,0.753649462792761,0.015026488366986236,0.8063472842989412,0.010380923985602093,6.74138459186423,0.12064655763787212
