dataset,MAE_mean,MAE_ci,MSE_mean,MSE_ci,RMSE_mean,RMSE_ci,R2_mean,R2_ci,MAPE_mean,MAPE_ci,total_model_fits
descriptors_only.csv,0.508739735048608,0.0072902348801184924,0.45110244522544196,0.01246524696299284,0.6715745669427056,0.009299485427572418,0.8463447584646857,0.0049936122098482045,5.953467941944056,0.11953744499157438,270
raw_descs_and_ratios.csv,0.4489628589979585,0.006946610040219039,0.3561632733800604,0.012731433169879236,0.5966948618722994,0.010668739078530191,0.878661887113356,0.005272622382963651,5.292823809250704,0.09626498934696884,270
raw_descs_and_interactions.csv,0.45961867175657584,0.00756009682083627,0.37162909445175857,0.012962770955614067,0.6095172310138655,0.01063828476824943,0.8733905033344469,0.005453123195248765,5.436310970678477,0.10612130149506135,270
transforms_and_interactions.csv,0.45961867175657584,0.00756009682083627,0.37162909445175857,0.012962770955614067,0.6095172310138655,0.01063828476824943,0.8733905033344469,0.005453123195248765,5.436310970678477,0.10612130149506135,270
transforms_and_ratios.csv,0.4486675170271003,0.005938843480621229,0.3576784136462409,0.011792214448291224,0.5979774109155486,0.009869805753478313,0.878161960342595,0.004631179085193667,5.284788029353409,0.08793911522341569,270
raw_descs_and_transforms.csv,0.5163626492329958,0.009400862756815004,0.465562938242979,0.01608584096367056,0.6822148617136614,0.011834111722864566,0.8414084787182581,0.006367784222040909,6.048896524984682,0.13900795878107075,270
ratios_only.csv,0.4470607944359277,0.006695293641480125,0.35599984627510545,0.014526496711154193,0.5965281029327547,0.012164191981657978,0.8787251858018573,0.005618835491049681,5.275583117744627,0.08513103400525264,270
interactions_only.csv,0.45961867175657584,0.00756009682083627,0.37162909445175857,0.012962770955614067,0.6095172310138655,0.01063828476824943,0.8733905033344469,0.005453123195248765,5.436310970678477,0.10612130149506135,270
transformations_only.csv,0.5139972123696553,0.006812661069890118,0.4621300891586042,0.01105180416294157,0.6797508798485847,0.00813048680790641,0.8425973102644703,0.0043400825884437185,6.017527354046199,0.10463845619773514,270
all_4_combined.csv,0.4464986944882118,0.009532860503273583,0.3590208610309875,0.014110104256967817,0.5990624942122109,0.011800317473972964,0.8776974453054784,0.005467759306571854,5.264409237217491,0.13265034120948138,270
interactions_and_ratios.csv,0.44801096828703263,0.007326181563440655,0.3580955465934507,0.011241027355553535,0.5983342259746903,0.009384523223823127,0.8780306253329335,0.004191684454815941,5.287936350894272,0.116549885562894,270
