dataset,MAE_mean,MAE_ci,MSE_mean,MSE_ci,RMSE_mean,RMSE_ci,R2_mean,R2_ci,MAPE_mean,MAPE_ci,InnerCV_Time_mean_sec,InnerCV_Time_ci_sec,Dataset_Total_Time_sec
descriptors_only.csv,0.5146879225710083,0.007183520334889273,0.4628425964085007,0.015145631026026134,0.6802301676076054,0.011152877288964368,0.8423791637366502,0.00491086088999664,6.042250940495758,0.11694202454404733,103.15471773147583,6.850524631572612,516.1583280563354
raw_descs_and_ratios.csv,0.46225937566064135,0.007602278163783032,0.3801452340033242,0.01605608987894335,0.6164163562723175,0.013005221191564999,0.8704883569471968,0.006349227284059258,5.473848097622755,0.09699864531361635,962.2403641700745,51.95385811344284,4811.728858947754
raw_descs_and_interactions.csv,0.48056063173894614,0.009143170102635663,0.4079686271603916,0.01646751412005858,0.6385880050655796,0.012926602943674745,0.861028186656187,0.006270945289545965,5.6770939386174755,0.12771607131681315,450.2322329521179,11.366671079920488,2251.717980146408
transforms_and_interactions.csv,0.48056063173894625,0.009143170102635616,0.4079686271603916,0.016467514120058604,0.6385880050655796,0.012926602943674738,0.861028186656187,0.006270945289545991,5.677093938617475,0.1277160713168127,437.6567456245422,8.144293448211554,2188.7828998565674
transforms_and_ratios.csv,0.4600943182360976,0.008616950256025047,0.3777365412444584,0.01631083910668699,0.6144538881930167,0.013255764481766918,0.8713074900792529,0.006446055577102098,5.435028372876462,0.11328031641553025,1167.6846632003785,26.117870649902674,5839.051787137985
raw_descs_and_transforms.csv,0.519632876438689,0.006963445795754697,0.47090177253880156,0.01412114596735996,0.6861422956754246,0.010302714600874834,0.8396131137730919,0.005185246659961027,6.106247764851638,0.1060942177834762,206.68144159317018,2.5760075339050035,1036.250820159912
ratios_only.csv,0.45986656030368156,0.008522220509509853,0.37758419809309685,0.016132670686107322,0.6143332325129596,0.013107020002771044,0.87136292589602,0.006332773048421836,5.432492817985588,0.1123505648503624,1016.5422568321228,59.160902141228355,5083.278345823288
interactions_only.csv,0.48056063173894614,0.00914317010263564,0.4079686271603916,0.016467514120058584,0.6385880050655796,0.012926602943674724,0.861028186656187,0.006270945289545979,5.677093938617475,0.12771607131681317,400.81376881599425,7.178350074717416,2004.471606016159
transformations_only.csv,0.5181518902697096,0.007439031427703653,0.4694169189457412,0.014210357319163227,0.6850580047102556,0.010392119257883354,0.8401253550455564,0.005029312634922154,6.08711303534372,0.11035717730609469,178.6808014392853,1.3177802289802294,895.732250213623
all_4_combined.csv,0.46201962884974856,0.009229613738094061,0.3828031852876529,0.013817099226353461,0.6186058652082436,0.011172378996252154,0.8695865051685013,0.005692216522492161,5.452007639848892,0.12652533804841973,1369.2002289772033,69.93150631031318,6846.522043228149
interactions_and_ratios.csv,0.46173032581342033,0.009220482067857905,0.38199054934952426,0.013807385125036736,0.6179485147339095,0.011181558977503097,0.8698603579304951,0.005744311332829733,5.447930528909215,0.12658046323871808,1595.7954837799073,160.46152335180838,7979.512609004974
