dataset,MAE_mean,MAE_ci,MSE_mean,MSE_ci,RMSE_mean,RMSE_ci,R2_mean,R2_ci,MAPE_mean,MAPE_ci
descriptors_only.csv,0.5257519866779405,0.009125571485491089,0.4771133831990359,0.017949687424905776,0.6906060242020328,0.013027091560102285,0.8374862407027198,0.006686347773426913,6.14853408158852,0.1428484496379856
raw_descs_and_ratios.csv,0.45509384945159426,0.008426008408514499,0.36510117717306845,0.01618208170245636,0.6040817882828413,0.013378713564656175,0.875620834973508,0.006197140364330424,5.3665918086133875,0.10588793576643347
raw_descs_and_interactions.csv,0.46888702748955857,0.007035411366693015,0.3866681706021585,0.013208939970785562,0.6217316069792646,0.010644599453632976,0.8682939262002776,0.005038242048666004,5.541731422730246,0.11664929474545305
transforms_and_interactions.csv,0.46888702748955857,0.007035411366693015,0.3866681706021585,0.013208939970785562,0.6217316069792646,0.010644599453632976,0.8682939262002776,0.005038242048666004,5.541731422730246,0.11664929474545305
transforms_and_ratios.csv,0.4547571621411096,0.007884079043399812,0.3658835107740176,0.016288696399194866,0.604727443997694,0.013445273211512098,0.8753687538094393,0.00596230914883736,5.357892478869297,0.1099161876174943
raw_descs_and_transforms.csv,0.5294639813476709,0.008597761888792767,0.4866359309421724,0.0178987018148502,0.6974691385060536,0.012879891131275356,0.8342347988086415,0.006863139840673763,6.198734483321884,0.12422107084174071
ratios_only.csv,0.4546153269729059,0.007749505086074703,0.36545634023652973,0.015601221607556367,0.6043866126978183,0.01289594463817762,0.8755122509150354,0.00579133861814703,5.355700685032805,0.10902046105677499
interactions_only.csv,0.46888702748955857,0.007035411366693015,0.3866681706021585,0.013208939970785562,0.6217316069792646,0.010644599453632976,0.8682939262002776,0.005038242048666004,5.541731422730246,0.11664929474545305
transformations_only.csv,0.528858000893668,0.009565381868718975,0.48350857579658546,0.014888884295132174,0.6952606603871887,0.0107884565132997,0.8353245856632613,0.005372796134728114,6.195217258731234,0.14394394773437597
all_4_combined.csv,0.455778896948415,0.008540399858027247,0.37356630608844393,0.014994049722356314,0.6110726013008853,0.012263008583213051,0.8727339708630195,0.00591992267883009,5.3695536557035854,0.12478398599484494
interactions_and_ratios.csv,0.4558565854235982,0.00869795949385766,0.3736070364815596,0.014812053729949285,0.6111089302712359,0.012118437030527394,0.8727191940511565,0.005887413822615565,5.370584961440845,0.12698239089610908
