Fold,MAE,MSE,RMSE,R2
1,0.44543895336424727,0.3502578290038563,0.5918258434741223,0.8851451969725548
2,0.4619089877151499,0.3789334071325939,0.6155756713293613,0.8699048941394313
3,0.4412567642932753,0.3469570707415927,0.5890306195280451,0.8780082963845217
4,0.46349261460774993,0.38719024862592494,0.6222461318689936,0.869919735533138
5,0.4549737649511628,0.35795320002678727,0.598291902023408,0.8766801597668495
