cluster,identifier,Score
175,CNP0596785.1,-5.8
176,CNP0561534.1,-6.2
177,CNP0138205.1,-10.6
178,CNP0516341.2,-5.9
179,CNP0509277.1,-5.9
180,CNP0282099.3,-9.5
181,CNP0519140.0,-9.7
182,CNP0350881.1,-8.3
183,CNP0497332.2,-5.6
184,CNP0483106.2,-6.2
185,CNP0351911.2,-10.2
186,CNP0598266.1,-8.3
187,CNP0327226.4,-9.7
188,CNP0080776.0,-11.1
189,CNP0386747.2,-9.7
190,CNP0539613.1,
191,CNP0566496.2,-4.9
192,CNP0538238.2,
193,CNP0580942.2,-5.9
194,CNP0494323.1,-9.1
195,CNP0527962.2,-5.8
196,CNP0569269.1,-4.0
197,CNP0516897.2,-6.1
198,CNP0540168.2,-5.8
199,CNP0147524.1,-10.1
200,CNP0323143.0,-10.32
201,CNP0514990.2,-6.735
202,CNP0514378.2,-5.863
203,CNP0573873.1,-7.049
204,CNP0515994.1,-6.467
205,CNP0591002.1,-6.1
206,CNP0156369.1,-9.3
207,CNP0212295.0,-5.4
208,CNP0199675.0,-9.5
209,CNP0356128.4,-9.1
210,CNP0070652.5,-9.9
211,CNP0584498.2,-6.3
212,CNP0520949.2,-5.6
213,CNP0156544.2,-10.8
214,CNP0217256.3,-9.6
215,CNP0542590.1,-10.3
216,CNP0562512.1,-6.2
217,CNP0428805.1,-10.5
218,CNP0548255.2,-6.2
219,CNP0540105.1,-4.9
220,CNP0312749.0,-3.8
221,CNP0564971.0,-3.6
222,CNP0500553.1,-6.4
223,CNP0493437.1,-7.1
224,CNP0588417.2,-5.7
225,CNP0497658.2,-6.8
226,CNP0554697.2,-6.7
227,CNP0571312.1,-12.7
228,CNP0494655.1,-5.8
229,CNP0454163.1,
230,CNP0548185.2,-6.1
231,CNP0483343.1,-5.9
232,CNP0489129.1,-5.3
233,CNP0496420.2,-6.8
234,CNP0507177.1,-5.5
235,CNP0091374.1,-8.1
236,CNP0433340.1,-8.0
237,CNP0529778.1,-10.0
238,CNP0330861.3,-8.5
239,CNP0176743.1,-8.9
240,CNP0559584.1,-5.8
241,CNP0536588.2,-6.7
242,CNP0481032.1,-5.7
243,CNP0551452.1,-5.5
244,CNP0558704.1,-5.2
245,CNP0109829.1,-8.9
246,CNP0173380.0,-9.1
247,CNP0251588.1,-7.7
248,CNP0591368.1,-5.2
249,CNP0357411.1,-7.5
250,CNP0506664.1,-8.8
251,CNP0173818.3,-8.6
252,CNP0221936.0,-5.9
253,CNP0289205.0,-6.6
254,CNP0557225.2,-5.6
255,CNP0226376.3,-11.0
256,CNP0179769.1,-11.2
257,CNP0591996.2,-5.9
258,CNP0509580.4,-10.9
259,CNP0540075.2,-5.2
260,CNP0484221.1,-4.974
261,CNP0562514.2,-6.799
262,CNP0422263.1,-8.675
263,CNP0559637.1,-7.149
264,CNP0510472.1,-5.63
265,CNP0354594.1,
266,CNP0124695.1,-10.83
267,CNP0563765.1,-5.687
268,CNP0584232.1,-8.121
269,CNP0500306.2,-6.481
270,CNP0485605.1,-6.659
271,CNP0574164.1,-6.761
272,CNP0134678.1,-8.217
273,CNP0561462.2,-6.388
274,CNP0581423.1,-5.45
275,CNP0493470.1,-6.4
276,CNP0506319.1,-5.7
277,CNP0579769.2,-6.7
278,CNP0244780.1,-8.5
279,CNP0156848.1,-8.9
