cluster,identifier,Score
0,CNP0523355.0,
1,CNP0059757.1,-9.622
2,CNP0599960.1,-10.4
3,CNP0045771.1,-7.412
4,CNP0450094.1,-8.831
5,CNP0543964.2,-5.7
6,CNP0582716.2,-6.4
7,CNP0567624.2,-7.6
8,CNP0166044.1,-8.8
9,CNP0510364.2,-6.3
10,CNP0576000.2,-5.3
11,CNP0491447.1,-11.2
12,CNP0492440.1,-8.1
13,CNP0114535.34,-9.6
14,CNP0605906.1,-8.9
15,CNP0496302.1,-8.787
16,CNP0092489.1,-9.768
17,CNP0375652.3,
18,CNP0000337.0,-5.791
19,CNP0333118.2,-10.07
20,CNP0529692.2,-5.6
21,CNP0523502.1,-10.5
22,CNP0490188.1,-10.7
23,CNP0527858.1,-9.6
24,CNP0419293.1,-8.8
25,CNP0052293.1,-7.6
26,CNP0577936.1,-10.5
27,CNP0000501.0,-5.7
28,CNP0113179.0,-5.7
29,CNP0337542.0,-5.1
30,CNP0260759.1,-7.3
31,CNP0549092.0,-7.9
32,CNP0471965.0,-5.3
33,CNP0585918.1,-6.8
34,CNP0443524.1,-9.5
35,CNP0084376.2,-6.4
36,CNP0405916.4,-9.8
37,CNP0601961.1,-7.6
38,CNP0099844.1,-8.9
39,CNP0392689.1,-7.0
40,CNP0322896.2,-10.65
41,CNP0185517.3,-9.73
42,CNP0525297.5,-12.08
43,CNP0000750.0,-7.284
44,CNP0492528.1,-10.22
45,CNP0559479.1,-8.8
46,CNP0530631.1,-7.8
47,CNP0424066.3,-10.5
48,CNP0559984.1,-7.1
49,CNP0525672.0,-6.1
50,CNP0480648.2,-6.6
51,CNP0543962.2,-6.8
52,CNP0178914.1,-10.0
53,CNP0250887.1,-8.3
54,CNP0567002.1,-10.2
55,CNP0088578.1,-10.4
56,CNP0055536.1,-8.8
57,CNP0203269.2,-6.2
58,CNP0007076.1,-10.9
59,CNP0548109.1,-6.5
60,CNP0495030.1,-5.2
61,CNP0480667.1,-7.5
62,CNP0049268.1,-9.1
63,CNP0201075.6,-9.6
64,CNP0187016.1,-8.3
65,CNP0489876.1,-6.683
66,CNP0528459.11,-10.8
67,CNP0470166.2,-10.04
68,CNP0595835.2,-6.461
69,CNP0594093.0,-7.652
70,CNP0523043.0,-6.7
71,CNP0566986.1,-11.0
72,CNP0542761.1,-11.6
73,CNP0442827.1,-9.7
74,CNP0264874.1,-5.5
75,CNP0583007.1,-9.3
76,CNP0498756.0,-5.8
77,CNP0029025.1,-6.3
78,CNP0482907.2,-6.8
79,CNP0183363.1,-8.7
80,CNP0317051.1,-7.5
81,CNP0099288.0,-9.4
82,CNP0554495.1,-5.6
83,CNP0427937.1,-9.2
84,CNP0129444.1,-6.9
85,CNP0010219.1,-8.3
86,CNP0570214.1,-6.8
87,CNP0486160.1,-5.8
88,CNP0559482.2,-6.9
89,CNP0134270.1,-11.0
90,CNP0036693.6,-9.8
91,CNP0099943.1,-8.3
92,CNP0566218.1,-10.5
93,CNP0195812.4,-11.4
94,CNP0571282.6,-9.2
95,CNP0353580.1,-10.2
96,CNP0502609.4,-7.1
97,CNP0093305.1,-11.1
98,CNP0545966.1,-9.6
99,CNP0580015.1,-11.8
100,CNP0095038.1,-11.81
101,CNP0161512.1,-10.86
102,CNP0596200.1,-6.258
103,CNP0565983.1,-11.18
104,CNP0311660.1,-8.088
105,CNP0504796.2,-5.9
106,CNP0565647.1,-4.6
107,CNP0422759.1,-11.5
108,CNP0087907.2,-12.1
109,CNP0579750.1,-9.5
110,CNP0248486.0,-9.4
111,CNP0371855.3,-11.3
112,CNP0302599.1,-9.1
113,CNP0526213.2,-6.1
114,CNP0421456.1,-8.9
115,CNP0098785.1,-10.2
116,CNP0021127.1,-7.1
117,CNP0158355.4,-5.2
118,CNP0118720.0,-9.0
119,CNP0160661.2,-8.0
120,CNP0439047.1,-8.6
121,CNP0378384.1,-7.7
122,CNP0603553.1,-7.1
123,CNP0589588.1,-6.5
124,CNP0438236.1,-10.4
125,CNP0289116.2,-9.546
126,CNP0324896.1,-10.33
127,CNP0371263.1,-8.062
128,CNP0589337.1,-6.16
129,CNP0593400.2,-5.95
