cluster,identifier,Score
0,CNP0516334.0,-0.826
1,CNP0060543.1,-9.569
2,CNP0501825.1,-10.07
3,CNP0023997.1,-7.519
4,CNP0239557.1,-8.629
5,CNP0481410.1,-6.5
6,CNP0554449.1,-5.6
7,CNP0301705.1,-9.1
8,CNP0128621.2,-8.6
9,CNP0480686.2,-6.3
10,CNP0544141.1,-6.2
11,CNP0604804.1,-8.6
12,CNP0500730.1,-7.8
13,CNP0114535.25,-9.5
14,CNP0284135.1,-8.2
15,CNP0566568.1,-10.25
16,CNP0296329.1,-9.377
17,CNP0159966.1,-10.49
18,CNP0130885.0,-5.778
19,CNP0182522.1,-10.7
20,CNP0558478.2,-5.7
21,CNP0549464.1,-8.4
22,CNP0522432.1,-10.2
23,CNP0498772.1,-8.9
24,CNP0094166.1,-10.9
25,CNP0302556.1,-7.1
26,CNP0556538.1,-10.8
27,CNP0155650.0,-6.1
28,CNP0406744.0,-5.9
29,CNP0394618.1,-5.0
30,CNP0373719.1,-5.8
31,CNP0512914.0,-6.8
32,CNP0001692.1,-6.1
33,CNP0001563.1,-7.0
34,CNP0454761.2,-10.1
35,CNP0084395.2,-6.3
36,CNP0236508.3,-10.7
37,CNP0596675.1,-6.5
38,CNP0101749.2,-9.7
39,CNP0037237.1,-7.3
40,CNP0376840.1,-8.928
41,CNP0352538.2,-9.909
42,CNP0575647.2,-13.14
43,CNP0000745.0,-8.573
44,CNP0344948.1,-8.731
45,CNP0481300.1,-8.8
46,CNP0450495.2,-7.9
47,CNP0424066.1,-10.1
48,CNP0519042.1,-5.5
49,CNP0492337.0,-6.5
50,CNP0563661.2,-5.4
51,CNP0530825.1,-6.5
52,CNP0240312.8,-9.7
53,CNP0174505.2,-9.7
54,CNP0568865.1,-10.0
55,CNP0155702.2,-9.2
56,CNP0089192.1,-7.0
57,CNP0336900.0,-4.7
58,CNP0322346.1,-11.0
59,CNP0509914.2,-6.1
60,CNP0543472.1,-6.6
61,CNP0514479.2,-6.6
62,CNP0062531.7,-9.4
63,CNP0201075.5,-9.7
64,CNP0062606.1,-7.8
65,CNP0585899.0,-5.415
66,CNP0234495.2,-9.761
67,CNP0058809.1,-10.18
68,CNP0540469.1,-6.765
69,CNP0602932.0,-6.348
70,CNP0531883.0,-6.5
71,CNP0569512.1,-10.3
72,CNP0599924.1,-9.7
73,CNP0245025.3,-8.6
74,CNP0035402.1,-7.3
75,CNP0595406.1,-9.8
76,CNP0082008.1,-6.6
77,CNP0371260.1,-5.6
78,CNP0561144.1,-6.4
79,CNP0377334.1,-8.9
80,CNP0551698.1,-8.8
