cluster,identifier,Score
0,CNP0595454.0,-0.826
1,CNP0063179.1,-10.32
2,CNP0580247.1,-11.08
3,CNP0058972.1,-7.493
4,CNP0239557.5,-8.568
5,CNP0481410.2,-6.8
6,CNP0511723.1,-6.4
7,CNP0508197.1,-7.7
8,CNP0101133.2,-8.0
9,CNP0480686.1,-6.5
10,CNP0488065.2,-6.4
11,CNP0155891.1,-9.1
12,CNP0595949.1,-10.1
13,CNP0114535.16,-10.0
14,CNP0323827.1,-9.7
15,CNP0565127.1,-9.627
16,CNP0118532.1,-11.6
17,CNP0106729.4,-9.009
18,CNP0000538.0,-5.88
19,CNP0354355.1,-9.747
20,CNP0558478.1,-5.4
21,CNP0484039.1,-9.9
22,CNP0569815.1,-11.2
23,CNP0497168.1,-10.8
24,CNP0254216.1,-10.1
25,CNP0069775.1,-7.3
26,CNP0556736.1,-9.3
27,CNP0000483.0,-6.2
28,CNP0407174.0,-5.9
29,CNP0185825.0,-4.7
30,CNP0563586.1,-3.9
31,CNP0488538.0,-7.5
32,CNP0084897.2,-6.7
33,CNP0549665.1,-6.8
34,CNP0449668.2,-10.1
35,CNP0084563.1,-7.2
36,CNP0217412.3,-7.6
37,CNP0603545.1,-6.1
38,CNP0416989.1,-10.3
39,CNP0555240.1,-6.1
40,CNP0279312.10,-10.58
41,CNP0183087.3,-8.158
42,CNP0575343.1,-11.54
43,CNP0102377.0,-8.385
44,CNP0269548.1,-9.779
45,CNP0577104.1,-8.9
46,CNP0559442.1,-7.8
47,CNP0450693.1,
48,CNP0515351.1,-5.1
49,CNP0549502.0,-5.9
50,CNP0563661.1,-6.5
51,CNP0543962.1,-6.2
52,CNP0295778.1,-10.0
53,CNP0228190.2,-9.5
54,CNP0073169.1,-10.3
55,CNP0423749.1,-9.8
56,CNP0003409.0,-9.0
57,CNP0573835.1,-4.7
58,CNP0577617.1,-9.0
59,CNP0548109.2,-6.7
60,CNP0543472.2,-7.4
61,CNP0588736.1,-6.8
62,CNP0062531.2,-9.5
63,CNP0201075.4,-9.7
64,CNP0062606.2,-8.1
65,CNP0559277.1,-6.706
66,CNP0107983.2,-9.713
67,CNP0134883.1,-10.39
68,CNP0480970.2,-6.482
69,CNP0601178.0,-6.768
70,CNP0540378.0,-6.2
71,CNP0516255.1,-9.5
72,CNP0480116.1,-12.1
73,CNP0097437.1,-12.0
74,CNP0054414.1,-7.0
75,CNP0091889.1,-9.1
76,CNP0535228.0,-5.4
77,CNP0064660.1,-7.3
78,CNP0489136.1,-6.6
79,CNP0091069.1,-7.2
80,CNP0402491.5,-8.3
81,CNP0191157.3,-9.0
82,CNP0550296.1,-5.8
83,CNP0435088.1,-7.9
84,CNP0317561.1,-6.6
85,CNP0248459.1,-9.6
86,CNP0499800.1,-6.4
87,CNP0575779.1,-6.3
88,CNP0518564.1,-6.7
89,CNP0568417.1,-9.2
90,CNP0095887.8,-11.0
91,CNP0095582.1,-10.8
92,CNP0175345.1,-10.2
93,CNP0162016.3,-11.2
94,CNP0571282.5,-10.2
95,CNP0568430.1,-10.8
96,CNP0552331.4,-7.3
97,CNP0171995.1,-10.2
98,CNP0098529.1,-8.6
99,CNP0391114.1,-11.6
100,CNP0419758.1,-12.08
101,CNP0176607.1,-10.5
102,CNP0540121.1,-6.341
103,CNP0417258.1,-9.55
104,CNP0165920.6,-8.786
105,CNP0568275.2,-6.4
106,CNP0481475.1,-6.7
107,CNP0099549.1,
108,CNP0383756.1,-9.4
109,CNP0484007.1,-8.0
110,CNP0140266.1,-10.0
111,CNP0250509.1,-9.7
112,CNP0097221.1,-9.5
113,CNP0544782.1,-6.5
114,CNP0088595.1,-8.8
115,CNP0111643.1,-10.5
116,CNP0199575.1,-8.1
117,CNP0146195.5,-5.2
118,CNP0536688.0,-9.2
119,CNP0168330.2,-10.2
