cluster,identifier,Score
0,CNP0583697.0,
1,CNP0043908.1,-10.64
2,CNP0489957.1,-10.16
3,CNP0306707.1,-7.353
4,CNP0239557.7,-9.371
5,CNP0599934.1,-6.0
6,CNP0554449.2,-6.5
7,CNP0567624.1,-8.4
8,CNP0588761.1,-8.8
9,CNP0557260.2,-6.3
10,CNP0592020.2,-6.1
11,CNP0094792.1,-7.9
12,CNP0487961.1,-10.5
13,CNP0223962.0,-10.2
14,CNP0357126.1,-11.3
15,CNP0521447.1,-8.571
16,CNP0096273.1,-9.476
17,CNP0141233.6,-9.225
18,CNP0000330.0,-5.778
19,CNP0216633.2,-9.553
20,CNP0557367.1,-6.0
21,CNP0499221.1,-8.5
22,CNP0503673.1,-11.9
23,CNP0487145.1,-11.0
24,CNP0102029.1,-10.6
25,CNP0245695.1,-8.1
26,CNP0519201.1,-9.7
27,CNP0423613.0,-5.6
28,CNP0228369.0,-6.1
29,CNP0186838.0,-5.0
30,CNP0391626.1,-6.0
31,CNP0499379.0,-7.0
32,CNP0130843.2,-6.0
33,CNP0118032.1,-7.4
34,CNP0444097.1,-9.7
35,CNP0243798.1,-6.1
36,CNP0172559.1,-9.5
37,CNP0487109.1,-5.3
38,CNP0091617.1,-10.4
39,CNP0061226.1,-6.7
40,CNP0274128.1,-10.35
41,CNP0527801.1,-9.427
42,CNP0525297.2,-11.93
43,CNP0358199.0,-6.61
44,CNP0510554.1,-11.55
45,CNP0463431.1,-7.3
46,CNP0462469.3,-7.3
47,CNP0477397.1,
48,CNP0486961.1,-6.2
49,CNP0479205.0,-6.1
50,CNP0518901.1,-6.0
51,CNP0539957.1,-5.8
52,CNP0364180.1,-9.7
53,CNP0536357.1,-9.9
54,CNP0075539.1,-10.3
55,CNP0363971.1,-9.5
56,CNP0336435.1,-9.0
57,CNP0249508.1,-6.3
58,CNP0084659.1,-8.8
59,CNP0509475.2,-6.0
60,CNP0539017.1,-6.7
61,CNP0549116.1,-6.2
62,CNP0196901.2,-10.2
63,CNP0423855.1,-10.4
64,CNP0037459.2,-6.8
65,CNP0601772.1,-5.455
66,CNP0077009.0,-10.26
67,CNP0012583.1,-10.25
68,CNP0595835.1,-6.403
69,CNP0492585.0,-6.252
70,CNP0569828.0,-6.3
71,CNP0490548.1,-10.7
72,CNP0544741.1,-12.2
73,CNP0228481.1,-9.4
74,CNP0037859.1,-4.9
75,CNP0502526.1,
76,CNP0169806.1,-5.8
77,CNP0052710.1,-6.3
78,CNP0583213.2,-6.0
79,CNP0167335.1,-8.9
80,CNP0148386.2,-8.4
81,CNP0284944.1,-9.0
82,CNP0604215.2,-5.6
83,CNP0079735.1,-9.1
84,CNP0322361.1,-8.0
85,CNP0006702.1,-8.8
86,CNP0488952.1,-5.9
87,CNP0515182.1,-4.8
88,CNP0555671.2,-6.4
89,CNP0162528.1,-8.7
90,CNP0053101.5,-10.4
91,CNP0122483.2,-9.0
92,CNP0127556.1,-10.8
93,CNP0215546.3,-10.5
94,CNP0144631.2,-10.5
95,CNP0348536.4,-10.4
96,CNP0011206.2,-10.2
97,CNP0089724.1,-12.9
98,CNP0365191.1,-9.0
99,CNP0092685.1,-12.0
100,CNP0419781.1,-10.44
101,CNP0091020.1,-11.2
102,CNP0540121.2,-5.87
103,CNP0095082.1,-10.78
104,CNP0085532.1,-8.262
105,CNP0546106.1,-6.2
106,CNP0481475.2,-5.9
107,CNP0422217.1,-12.7
108,CNP0087907.1,-9.4
109,CNP0548873.1,-8.4
110,CNP0181334.0,-8.2
111,CNP0250509.2,-9.6
112,CNP0364083.1,-9.2
113,CNP0483937.1,-6.7
114,CNP0420278.1,-9.9
115,CNP0100312.1,-10.1
116,CNP0309470.5,-7.4
117,CNP0487759.0,-4.2
118,CNP0302227.1,-7.3
119,CNP0237222.1,-8.8
120,CNP0067708.2,-8.9
121,CNP0378384.2,-7.7
122,CNP0533174.2,-6.3
123,CNP0511873.2,-6.4
124,CNP0280184.1,-12.1
125,CNP0311114.1,-10.32
126,CNP0017889.1,-9.365
127,CNP0521732.1,-10.56
128,CNP0560093.1,-6.892
129,CNP0515881.2,-6.47
130,CNP0314072.1,-4.9
131,CNP0032037.1,-10.3
132,CNP0213659.1,-9.1
133,CNP0583996.1,-9.8
134,CNP0247440.0,-6.2
135,CNP0568898.2,-4.853
136,CNP0580941.1,-7.761
137,CNP0504480.1,-6.484
138,CNP0323339.1,-5.976
139,CNP0140972.0,-5.028
140,CNP0141319.3,-6.9
141,CNP0174878.1,-6.7
142,CNP0595765.1,-5.2
143,CNP0279191.1,-6.8
144,CNP0487363.1,-6.1
145,CNP0577433.1,-5.5
146,CNP0579862.1,-5.8
147,CNP0598942.2,-5.7
148,CNP0046365.0,-5.8
149,CNP0106326.0,-5.2
150,CNP0538572.2,-6.0
151,CNP0529118.1,-6.9
152,CNP0568591.2,-6.4
153,CNP0481743.2,-6.6
154,CNP0472271.1,-10.6
155,CNP0179874.1,
156,CNP0182079.1,-8.3
157,CNP0603833.1,-6.7
158,CNP0446557.1,-8.9
159,CNP0118242.1,-11.0
160,CNP0003467.0,-3.5
161,CNP0080370.1,-6.1
162,CNP0220121.7,-9.0
163,CNP0404036.2,-8.6
164,CNP0249303.2,-10.7
165,CNP0173379.0,-13.3
166,CNP0287067.1,-6.175
167,CNP0432131.1,-8.811
168,CNP0339035.1,-9.904
169,CNP0509149.2,-5.588
170,CNP0158609.1,-6.5
171,CNP0482616.2,-6.4
172,CNP0508843.2,-7.4
173,CNP0598589.2,-6.9
174,CNP0526430.2,-6.9
175,CNP0513394.1,-4.3
176,CNP0594776.0,-7.6
177,CNP0229691.4,-10.6
178,CNP0589638.2,-6.2
179,CNP0554485.1,-6.1
180,CNP0272517.5,-8.9
181,CNP0074871.1,-9.4
182,CNP0523328.0,-8.5
183,CNP0545162.1,-6.5
184,CNP0557879.2,-6.5
185,CNP0566959.2,-8.4
186,CNP0018722.0,-9.3
187,CNP0196949.1,-10.6
188,CNP0435612.0,-11.3
189,CNP0262536.1,-9.4
190,CNP0535023.1,
191,CNP0583634.2,-6.4
192,CNP0505550.2,
193,CNP0523130.2,-5.4
194,CNP0548852.1,-12.2
195,CNP0527962.1,-6.4
196,CNP0483003.2,-6.0
197,CNP0514108.1,-5.3
198,CNP0499067.1,-6.4
199,CNP0248330.6,-9.4
200,CNP0172403.1,-9.133
201,CNP0487853.1,-5.893
202,CNP0490759.2,-5.511
203,CNP0507967.1,-5.824
204,CNP0597021.1,-5.909
205,CNP0532626.1,-6.2
206,CNP0236293.4,-11.0
207,CNP0109002.0,-5.7
208,CNP0248644.0,-10.8
209,CNP0216025.2,-8.9
210,CNP0070652.1,-9.9
211,CNP0557738.2,-6.7
212,CNP0552924.2,-6.3
213,CNP0188316.6,
214,CNP0431444.1,-10.7
215,CNP0496871.1,-9.5
216,CNP0497897.1,-5.6
217,CNP0107567.2,-11.0
218,CNP0491333.2,-5.4
219,CNP0493471.2,-6.4
220,CNP0261462.1,-4.7
221,CNP0530661.0,-4.2
222,CNP0056660.1,-5.9
223,CNP0514117.2,-6.0
224,CNP0584724.2,-6.3
225,CNP0553613.1,-6.2
226,CNP0579164.1,-6.4
227,CNP0531468.1,-13.7
228,CNP0515615.1,-5.9
229,CNP0150882.7,-9.4
230,CNP0481223.1,-4.6
231,CNP0535294.2,-5.7
232,CNP0590633.1,
233,CNP0572383.1,-5.8
234,CNP0589310.1,-5.0
235,CNP0374486.1,-5.3
236,CNP0105337.0,-8.1
237,CNP0277873.11,-9.7
238,CNP0330861.5,-8.6
239,CNP0181286.3,-8.6
240,CNP0559584.2,-6.2
241,CNP0530526.2,-6.7
242,CNP0545059.1,-6.1
243,CNP0551452.2,-4.7
244,CNP0518229.1,-6.8
245,CNP0162319.1,-9.4
246,CNP0480349.0,-9.6
247,CNP0153258.1,-8.2
248,CNP0488716.1,-4.9
249,CNP0357415.1,-8.9
250,CNP0506664.2,
251,CNP0173818.1,-8.5
252,CNP0078149.0,-6.4
253,CNP0234215.2,-6.4
254,CNP0560663.2,-6.7
255,CNP0283320.1,-10.9
256,CNP0293276.1,-11.8
257,CNP0493309.2,-6.6
258,CNP0479357.4,-9.9
259,CNP0569135.1,-6.5
260,CNP0507376.2,-6.418
261,CNP0503995.1,-6.18
262,CNP0097624.1,-7.796
263,CNP0521795.1,-6.524
264,CNP0529247.1,-6.107
265,CNP0091875.1,-11.75
266,CNP0580105.1,-10.26
267,CNP0555389.2,-6.097
268,CNP0181246.0,-8.32
