outer_fold,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_lambda,subsample,inner_rmse
1,1.0,0.03,6,1,100,1,1.0,0.6343860461745084
1,1.0,0.03,6,1,100,1,1.0,0.6619503983521732
1,1.0,0.03,6,1,100,1,1.0,0.6408686217928584
1,1.0,0.03,6,1,100,5,0.8,0.6334247920772198
1,1.0,0.03,6,1,100,5,0.8,0.6632938866348094
1,1.0,0.03,6,1,100,5,0.8,0.6470587721183733
1,1.0,0.03,6,1,100,5,1.0,0.638080138777316
1,1.0,0.03,6,1,100,5,1.0,0.665477519476417
1,1.0,0.03,6,1,100,5,1.0,0.6447381033710297
1,1.0,0.03,6,1,300,1,0.8,0.5963321414898536
1,1.0,0.03,6,1,300,1,0.8,0.6160162348414637
1,1.0,0.03,6,1,300,1,0.8,0.6062021868309865
1,1.0,0.03,6,1,300,1,1.0,0.6058173457831226
1,1.0,0.03,6,1,300,1,1.0,0.622701198799846
1,1.0,0.03,6,1,300,1,1.0,0.6118736583563871
1,1.0,0.03,6,1,300,5,0.8,0.5944107701824658
1,1.0,0.03,6,1,300,5,0.8,0.6165855957796122
1,1.0,0.03,6,1,300,5,0.8,0.6104141935520931
1,1.0,0.03,6,1,300,5,1.0,0.6042741821485847
1,1.0,0.03,6,1,300,5,1.0,0.6202488378378634
1,1.0,0.03,6,1,300,5,1.0,0.615376691122014
1,1.0,0.03,6,1,500,1,0.8,0.5932863363945441
1,1.0,0.03,6,1,500,1,0.8,0.6100496966915804
1,1.0,0.03,6,1,500,1,0.8,0.6015878464985523
1,1.0,0.03,6,1,500,1,1.0,0.6036306519786269
1,1.0,0.03,6,1,500,1,1.0,0.6177918219517053
1,1.0,0.03,6,1,500,1,1.0,0.6071498769965715
1,1.0,0.03,6,1,500,5,0.8,0.5916902954992631
1,1.0,0.03,6,1,500,5,0.8,0.6106001397760624
1,1.0,0.03,6,1,500,5,0.8,0.6048116237456549
1,1.0,0.03,6,1,500,5,1.0,0.6013149312065578
1,1.0,0.03,6,1,500,5,1.0,0.6150641906413865
1,1.0,0.03,6,1,500,5,1.0,0.6102015099934888
1,1.0,0.03,6,5,100,1,0.8,0.6272707118818612
1,1.0,0.03,6,5,100,1,0.8,0.6579136923979386
1,1.0,0.03,6,5,100,1,0.8,0.6386021305318508
1,1.0,0.03,6,5,100,1,1.0,0.6319978153868387
1,1.0,0.03,6,5,100,1,1.0,0.6615822740668192
1,1.0,0.03,6,5,100,1,1.0,0.6414059275199574
1,1.0,0.03,6,5,100,5,0.8,0.6323465779647759
1,1.0,0.03,6,5,100,5,0.8,0.6641975202315021
1,1.0,0.03,6,5,100,5,0.8,0.6455274333433441
1,1.0,0.03,6,5,100,5,1.0,0.6364746049146186
1,1.0,0.03,6,5,100,5,1.0,0.6645210317853045
1,1.0,0.03,6,5,100,5,1.0,0.6447498268320422
1,1.0,0.03,6,5,300,1,0.8,0.5946008620943679
1,1.0,0.03,6,5,300,1,0.8,0.614739855318271
1,1.0,0.03,6,5,300,1,0.8,0.6069450537937432
1,1.0,0.03,6,5,300,1,1.0,0.6026585466158979
1,1.0,0.03,6,5,300,1,1.0,0.6208888998886893
1,1.0,0.03,6,5,300,1,1.0,0.613983656105314
1,1.0,0.03,6,5,300,5,0.8,0.5963436665530136
1,1.0,0.03,6,5,300,5,0.8,0.6151971570972398
1,1.0,0.03,6,5,300,5,0.8,0.6100195903048621
1,1.0,0.03,6,5,300,5,1.0,0.6022547121929175
1,1.0,0.03,6,5,300,5,1.0,0.6196672721110285
1,1.0,0.03,6,5,300,5,1.0,0.6156350329543956
1,1.0,0.03,6,5,500,1,0.8,0.5926288966236501
1,1.0,0.03,6,5,500,1,0.8,0.6079490868388038
1,1.0,0.03,6,5,500,1,0.8,0.6011610933589343
1,1.0,0.03,6,5,500,1,1.0,0.5995101178124601
1,1.0,0.03,6,5,500,1,1.0,0.6165306324767926
1,1.0,0.03,6,5,500,1,1.0,0.6101448403883106
1,1.0,0.03,6,5,500,5,0.8,0.5931489756093469
1,1.0,0.03,6,5,500,5,0.8,0.6085640317356937
1,1.0,0.03,6,5,500,5,0.8,0.6040468362498421
1,1.0,0.03,6,5,500,5,1.0,0.600282302071627
1,1.0,0.03,6,5,500,5,1.0,0.6138416470745475
1,1.0,0.03,6,5,500,5,1.0,0.6098187994127763
1,1.0,0.1,3,1,100,1,0.8,0.6339668278383535
1,1.0,0.1,3,1,100,1,0.8,0.6690886428300974
1,1.0,0.1,3,1,100,1,0.8,0.6551421829525579
1,1.0,0.1,3,1,100,1,1.0,0.6333014336292553
1,1.0,0.1,3,1,100,1,1.0,0.6693266757447425
1,1.0,0.1,3,1,100,1,1.0,0.6514008036410068
1,1.0,0.1,3,1,100,5,0.8,0.6320052706673482
1,1.0,0.1,3,1,100,5,0.8,0.6695209789343012
1,1.0,0.1,3,1,100,5,0.8,0.6539141579676189
1,1.0,0.1,3,1,100,5,1.0,0.6373598910450043
