fold,MAE,MSE,RMSE,R2,MAPE
1,0.4361725301037372,0.33404189166968823,0.5779635729608642,0.890462646388941,5.190567736516337
2,0.4497171195745468,0.36733662245421517,0.6060830161407059,0.8738862927228715,5.2760158719882995
3,0.43169683591916524,0.3333668543566631,0.577379298517589,0.882786679040788,5.024235868365592
4,0.4537962987708373,0.3716215917402759,0.6096077359583587,0.87515017460609,5.34576911225464
5,0.4472073229391215,0.35237723150764494,0.5936137056265168,0.8786011582294257,5.321213423343109
