n_estimators,learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,min_child_weight,mean,std,count
500,0.03,6,0.8,1.0,5,5,0.6002020945054067,0.008886100646527175,15
500,0.03,6,0.8,0.8,5,5,0.6005406919706052,0.009179622439233483,15
500,0.03,6,0.8,1.0,1,5,0.6006460502772214,0.009075152425346669,15
500,0.03,6,0.8,1.0,5,1,0.6007687536105165,0.009008951425016992,15
500,0.03,6,0.8,0.8,5,1,0.600779000899363,0.009867699568673349,15
500,0.03,6,0.8,0.8,1,5,0.6008435359683842,0.009678324244022296,15
500,0.03,6,0.8,0.8,1,1,0.6009054920014366,0.009116567100601816,15
500,0.03,6,0.8,1.0,1,1,0.6016232639466135,0.009835596634491421,15
500,0.03,6,1.0,0.8,5,5,0.6031314517899806,0.008900108940309818,15
500,0.03,6,1.0,0.8,5,1,0.6037554164044184,0.009357551191862526,15
500,0.03,6,1.0,0.8,1,1,0.6038686892064022,0.009454867009259882,15
500,0.03,6,1.0,0.8,1,5,0.604180444732282,0.008748705216714473,15
300,0.03,6,0.8,1.0,1,5,0.6041832045921397,0.010092408034018972,15
300,0.03,6,0.8,0.8,1,1,0.6045743469212506,0.009831650781807859,15
300,0.03,6,0.8,0.8,1,5,0.6045803535564396,0.010222385345344125,15
300,0.03,6,0.8,1.0,5,5,0.6049730806710869,0.00978468784839396,15
300,0.03,6,0.8,1.0,1,1,0.6050711311573164,0.010299183611442829,15
300,0.03,6,0.8,1.0,5,1,0.6051062877463653,0.009666621910329723,15
300,0.03,6,0.8,0.8,5,5,0.6052782509046936,0.00993070647031685,15
300,0.03,6,0.8,0.8,5,1,0.6055007795650891,0.010332774976658146,15
500,0.03,6,1.0,1.0,1,5,0.6062509869878815,0.009071124497010414,15
500,0.03,6,1.0,1.0,5,5,0.6063067195151713,0.007821306468595166,15
500,0.03,6,1.0,1.0,5,1,0.6063745817873367,0.008769131638985232,15
500,0.03,6,1.0,1.0,1,1,0.606524096575154,0.008887101052511802,15
300,0.03,6,1.0,0.8,1,1,0.6072974243479011,0.009710856003643475,15
300,0.03,6,1.0,0.8,1,5,0.6073617270805088,0.009370407155543018,15
300,0.03,6,1.0,0.8,5,1,0.6078912541630572,0.010085020326773183,15
300,0.03,6,1.0,0.8,5,5,0.6079006535416096,0.009812268704735184,15
300,0.1,6,1.0,0.8,5,5,0.608971193128774,0.008211000192444777,15
300,0.1,6,1.0,0.8,5,1,0.609152851684231,0.008971895820594567,15
300,0.03,6,1.0,1.0,1,5,0.6091541877929145,0.009593180013167913,15
300,0.03,6,1.0,1.0,1,1,0.6094967612753398,0.00968844263351403,15
300,0.1,6,0.8,0.8,5,5,0.6099160291884157,0.009854245482656917,15
500,0.1,3,0.8,1.0,1,5,0.6099448213674104,0.010655766184992579,15
300,0.1,6,1.0,1.0,5,5,0.6099713360781934,0.007213855177994241,15
500,0.1,3,0.8,1.0,5,1,0.6100241142210909,0.010628289732247307,15
300,0.03,6,1.0,1.0,5,5,0.6101346151214889,0.008977239759903638,15
300,0.03,6,1.0,1.0,5,1,0.6101883113134667,0.009224515762737284,15
500,0.1,3,0.8,0.8,1,1,0.610232010134997,0.011541490153260085,15
500,0.1,3,0.8,0.8,5,1,0.6104385567130366,0.010633093197866199,15
500,0.1,3,0.8,0.8,5,5,0.6104696524835914,0.0107107111096735,15
300,0.1,6,1.0,1.0,5,1,0.6107475183399083,0.007847302136306297,15
300,0.1,6,0.8,1.0,5,5,0.6107793413030475,0.008428514736454522,15
100,0.1,6,0.8,1.0,1,5,0.6108209425929745,0.008571620249162097,15
300,0.1,6,0.8,0.8,5,1,0.6108684121427806,0.008102388690641747,15
100,0.1,6,1.0,0.8,5,5,0.6108805299901008,0.009205110247305722,15
100,0.1,6,0.8,0.8,1,1,0.6109291647632147,0.010544051368658663,15
100,0.1,6,0.8,0.8,5,1,0.6110014187254831,0.00905511036434375,15
500,0.1,3,0.8,1.0,5,5,0.6110185932918758,0.00991571371961599,15
100,0.1,6,0.8,0.8,5,5,0.6110779584401544,0.01086316670921179,15
300,0.1,6,0.8,1.0,5,1,0.6111185572509779,0.008205272900699324,15
100,0.1,6,0.8,0.8,1,5,0.6111922160783717,0.010261273834742117,15
100,0.1,6,1.0,1.0,5,5,0.6112784141914529,0.008412227675917996,15
500,0.1,3,0.8,1.0,1,1,0.6113024584393998,0.011229860501164847,15
100,0.1,6,0.8,1.0,5,5,0.6113603303279086,0.010376529982987433,15
100,0.1,6,0.8,1.0,5,1,0.6113678890042764,0.009141415133789077,15
300,0.1,6,1.0,0.8,1,5,0.6115513863821614,0.008205364989101403,15
500,0.1,3,0.8,0.8,1,5,0.6115755269359483,0.010576652451576867,15
100,0.1,6,1.0,0.8,5,1,0.6116662174759029,0.010411908094727694,15
100,0.1,6,1.0,0.8,1,5,0.6116940350342313,0.009451910458827605,15
500,0.1,3,1.0,0.8,5,1,0.6117138262233179,0.010351547751267814,15
500,0.1,3,1.0,1.0,1,5,0.6117628451252802,0.010303838779865359,15
500,0.1,3,1.0,1.0,1,1,0.6118308019205362,0.010489468517617222,15
300,0.1,6,0.8,0.8,1,5,0.611930417045992,0.009411839175991178,15
500,0.1,3,1.0,1.0,5,5,0.6119555403415676,0.010205584768884649,15
500,0.1,6,1.0,0.8,5,5,0.6119672499757314,0.007787118213138035,15
100,0.1,6,1.0,1.0,5,1,0.6119715932670865,0.008448194327565063,15
