n_estimators,learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,min_child_weight,mean,std,count
500,0.1,3,1.0,0.8,5,5,0.6120094660202151,0.010702470901176533,15
500,0.1,6,1.0,0.8,5,1,0.6121715419633655,0.008425894969770698,15
300,0.1,6,0.8,1.0,1,5,0.6123172300165912,0.00705848311529689,15
500,0.1,3,1.0,1.0,5,1,0.6123653845337075,0.009998996383929324,15
300,0.1,6,0.8,0.8,1,1,0.6124625638988914,0.010169314238733948,15
300,0.1,6,1.0,0.8,1,1,0.6127007123977269,0.00923282013165797,15
100,0.1,6,1.0,1.0,1,1,0.6127203022987145,0.009780189513380392,15
100,0.1,6,0.8,1.0,1,1,0.6127271035675979,0.010150790923756604,15
100,0.1,6,1.0,0.8,1,1,0.6127454514411362,0.010194878696199063,15
100,0.1,6,1.0,1.0,1,5,0.6130367959975849,0.009836768418315092,15
500,0.1,6,1.0,1.0,5,5,0.6130885882965321,0.006977933084194206,15
500,0.1,3,1.0,0.8,1,1,0.6131052449014902,0.010589786194954789,15
500,0.1,3,1.0,0.8,1,5,0.6131804036140517,0.010214161977527862,15
500,0.1,6,1.0,1.0,5,1,0.6136888775214987,0.007638117432279551,15
300,0.1,6,1.0,1.0,1,5,0.6137232974333193,0.008812988665382358,15
300,0.1,6,1.0,1.0,1,1,0.6138546552821926,0.008986549778468654,15
500,0.1,6,0.8,0.8,5,5,0.6140867554933787,0.009815408665490535,15
300,0.1,6,0.8,1.0,1,1,0.6142255055199776,0.009236124319058365,15
500,0.1,6,1.0,0.8,1,5,0.614751823180512,0.007728517211177486,15
500,0.1,6,0.8,0.8,5,1,0.6150662884648253,0.008192054904515784,15
500,0.1,6,0.8,1.0,5,5,0.6152003696313499,0.00794015731138514,15
500,0.1,6,0.8,1.0,5,1,0.6154512806101882,0.007736914813627141,15
500,0.1,6,1.0,0.8,1,1,0.6155807715074205,0.00874619542399165,15
500,0.1,6,0.8,0.8,1,1,0.6161521527405154,0.01029218986856345,15
500,0.1,6,0.8,1.0,1,5,0.6162128994930132,0.006453611904002057,15
500,0.1,6,0.8,0.8,1,5,0.6162698687715656,0.009322749186543897,15
300,0.1,3,0.8,1.0,1,5,0.6166218865548172,0.011488886213201113,15
300,0.1,3,0.8,1.0,5,1,0.6167327177097179,0.011784766947594614,15
300,0.1,3,0.8,0.8,1,1,0.616748157719926,0.01248968781759972,15
500,0.1,6,1.0,1.0,1,5,0.6169694992543243,0.008478560146090188,15
300,0.1,3,0.8,0.8,5,1,0.6171392104111961,0.011449413504967308,15
300,0.1,3,0.8,1.0,1,1,0.6171796790871086,0.0117834547314419,15
500,0.1,6,1.0,1.0,1,1,0.6172104828426005,0.00876487316574273,15
300,0.1,3,0.8,0.8,1,5,0.6175822616438448,0.011416927811079424,15
300,0.1,3,0.8,0.8,5,5,0.6176740335889961,0.011180919027013344,15
500,0.1,6,0.8,1.0,1,1,0.6176857415767177,0.009025001670913144,15
300,0.1,3,0.8,1.0,5,5,0.6177698582481418,0.010833127368724764,15
300,0.1,3,1.0,1.0,1,5,0.6177818677728182,0.011207967951704095,15
300,0.1,3,1.0,1.0,1,1,0.6185828058692039,0.011187782685956816,15
300,0.1,3,1.0,1.0,5,5,0.6188150845682718,0.011054925757087603,15
300,0.1,3,1.0,1.0,5,1,0.618850487038459,0.010666084128270008,15
300,0.1,3,1.0,0.8,5,1,0.6189136433485526,0.011013539188258847,15
300,0.1,3,1.0,0.8,5,5,0.6191832942218597,0.011482949102910577,15
300,0.1,3,1.0,0.8,1,1,0.619417091789903,0.011661266092290358,15
300,0.1,3,1.0,0.8,1,5,0.6197083438663692,0.010793545369128113,15
500,0.03,3,0.8,1.0,1,5,0.6298303834577703,0.01218453092303851,15
500,0.03,3,0.8,0.8,1,5,0.6300583451413255,0.01226212518598469,15
500,0.03,3,0.8,0.8,1,1,0.6301134721591299,0.012036146825162384,15
500,0.03,3,0.8,1.0,1,1,0.6302827225490836,0.0118473739740869,15
500,0.03,3,0.8,0.8,5,1,0.6307093696265157,0.012736614132832587,15
500,0.03,3,0.8,0.8,5,5,0.6307834642821274,0.012382335153045754,15
500,0.03,3,0.8,1.0,5,5,0.630835653237953,0.012315875538605477,15
500,0.03,3,0.8,1.0,5,1,0.6310742353431451,0.012433221251711632,15
500,0.03,3,1.0,0.8,1,5,0.6337184612136609,0.011930518587185966,15
500,0.03,3,1.0,1.0,1,5,0.6342955867874471,0.011752905516646161,15
500,0.03,3,1.0,0.8,1,1,0.6345387399315271,0.011981114106904266,15
500,0.03,3,1.0,1.0,1,1,0.6347237506264424,0.012116967042482342,15
500,0.03,3,1.0,0.8,5,1,0.6350732993998656,0.012010606890239459,15
500,0.03,3,1.0,0.8,5,5,0.6354281196868325,0.012461436194963047,15
500,0.03,3,1.0,1.0,5,1,0.6354389947099325,0.012445707193182918,15
500,0.03,3,1.0,1.0,5,5,0.6357119325303859,0.012817209680798115,15
100,0.03,6,0.8,1.0,1,5,0.6396103039984596,0.011808562625384917,15
100,0.03,6,0.8,0.8,1,5,0.6402477214667877,0.011866551482897593,15
100,0.03,6,0.8,0.8,1,1,0.6404281388155877,0.01165487659142543,15
100,0.03,6,0.8,1.0,1,1,0.6407330610825793,0.012194910304172763,15
100,0.03,6,1.0,0.8,1,5,0.6409438723656008,0.011586768629924934,15
100,0.03,6,1.0,0.8,1,1,0.641155552637587,0.01182264251343255,15
100,0.03,6,1.0,1.0,1,5,0.641687686299455,0.01153476096730306,15
100,0.03,6,1.0,1.0,1,1,0.6423286971115647,0.011615776030482394,15
100,0.03,6,0.8,1.0,5,5,0.6452543094111942,0.01197489886817664,15
100,0.03,6,1.0,0.8,5,5,0.6453855715758663,0.011752917922121795,15
100,0.03,6,0.8,1.0,5,1,0.6457246260501012,0.01145827788527567,15
100,0.03,6,1.0,0.8,5,1,0.6459287985424828,0.011906598154733473,15
100,0.03,6,0.8,0.8,5,5,0.6459889470098933,0.012452577649968984,15
100,0.03,6,0.8,0.8,5,1,0.6461072325447168,0.012660600659114087,15
100,0.03,6,1.0,1.0,5,5,0.6470007851648071,0.011229600660994434,15
100,0.03,6,1.0,1.0,5,1,0.647122451887306,0.011410728044906577,15
100,0.1,3,0.8,0.8,1,5,0.6485916828513921,0.013424043499042453,15
100,0.1,3,0.8,0.8,1,1,0.648872834403159,0.014157950991214616,15
100,0.1,3,1.0,1.0,1,5,0.6489949222673258,0.013009652141539126,15
100,0.1,3,0.8,1.0,1,5,0.649012664476022,0.013031154277298349,15
100,0.1,3,0.8,1.0,5,1,0.6492827498000151,0.013144152273892437,15
300,0.03,3,0.8,1.0,1,5,0.6494517578163052,0.01281613762646355,15
300,0.03,3,0.8,0.8,1,5,0.6496919606517919,0.012809253449066284,15
300,0.03,3,0.8,0.8,1,1,0.6497486590244885,0.012876331287988893,15
100,0.1,3,1.0,1.0,1,1,0.6497584104504198,0.012863512642619415,15
100,0.1,3,0.8,1.0,5,5,0.6499494132039925,0.013104859262876063,15
300,0.03,3,0.8,1.0,1,1,0.6499531955975382,0.012652537787267177,15
100,0.1,3,0.8,1.0,1,1,0.6499558495558213,0.01351002849996931,15
100,0.1,3,0.8,0.8,5,5,0.6506686546487128,0.013168840566103512,15
300,0.03,3,0.8,1.0,5,5,0.650872937345515,0.01307077395999706,15
300,0.03,3,0.8,1.0,5,1,0.6509582410434782,0.01284638603309433,15
100,0.1,3,1.0,1.0,5,5,0.6509707131976056,0.012613201843152453,15
300,0.03,3,0.8,0.8,5,1,0.6510378509631263,0.013097369842835072,15
300,0.03,3,0.8,0.8,5,5,0.6510684494651676,0.013034027628736159,15
100,0.1,3,1.0,1.0,5,1,0.651069029155859,0.012063736718328189,15
100,0.1,3,1.0,0.8,1,5,0.6511044605831604,0.01251433069364259,15
100,0.1,3,1.0,0.8,1,1,0.6511451229318852,0.01260093425113249,15
100,0.1,3,0.8,0.8,5,1,0.6511712504888675,0.01286147906786634,15
100,0.1,3,1.0,0.8,5,1,0.6521137626833471,0.012331547103421409,15
100,0.1,3,1.0,0.8,5,5,0.6524585694990506,0.012322593515331265,15
300,0.03,3,1.0,0.8,1,5,0.6529641604366757,0.01240937374779963,15
300,0.03,3,1.0,1.0,1,5,0.6531122048123928,0.01220563689389724,15
300,0.03,3,1.0,1.0,1,1,0.6535388025327138,0.012578813329700633,15
300,0.03,3,1.0,0.8,1,1,0.6537060435897346,0.012626367843461524,15
300,0.03,3,1.0,1.0,5,1,0.6546901567554388,0.012641358011005976,15
300,0.03,3,1.0,0.8,5,1,0.6547814047431333,0.012132535060202114,15
300,0.03,3,1.0,0.8,5,5,0.6548620216459391,0.012575715062762371,15
300,0.03,3,1.0,1.0,5,5,0.654884770398141,0.012807858915504781,15
100,0.03,3,0.8,1.0,1,1,0.7255182661955235,0.013276944612345729,15
100,0.03,3,0.8,1.0,1,5,0.7255376055386278,0.013168061921026406,15
100,0.03,3,0.8,0.8,1,1,0.7263745799410815,0.013327672381837848,15
100,0.03,3,0.8,0.8,1,5,0.7264934691768556,0.013231550431666373,15
100,0.03,3,1.0,1.0,1,5,0.7265452577376144,0.013396356442812033,15
100,0.03,3,1.0,1.0,1,1,0.7266918557634766,0.013330716669183203,15
100,0.03,3,1.0,0.8,1,1,0.7275863684349498,0.013231885836671864,15
100,0.03,3,0.8,1.0,5,5,0.7276343659515434,0.013151015308172014,15
100,0.03,3,1.0,0.8,1,5,0.7276841510063216,0.013203709770324087,15
100,0.03,3,0.8,1.0,5,1,0.7276865891742268,0.013112949056160022,15
100,0.03,3,0.8,0.8,5,1,0.7283236743941963,0.01320822449584913,15
100,0.03,3,0.8,0.8,5,5,0.7283278594979916,0.013176011036887883,15
100,0.03,3,1.0,1.0,5,1,0.7287755296319927,0.01365339607534879,15
100,0.03,3,1.0,1.0,5,5,0.7287792941453987,0.013713347325055253,15
100,0.03,3,1.0,0.8,5,5,0.7294419158422888,0.01313197649716929,15
100,0.03,3,1.0,0.8,5,1,0.7294949146289222,0.013085893039144921,15
