OriginalIndex,BaseValue
0,-8.644918923506586
3,-8.644918923506586
8,-8.644918923506586
10,-8.644918923506586
14,-8.644918923506586
19,-8.644918923506586
29,-8.644918923506586
31,-8.644918923506586
33,-8.644918923506586
35,-8.644918923506586
36,-8.644918923506586
39,-8.644918923506586
41,-8.644918923506586
47,-8.644918923506586
50,-8.644918923506586
63,-8.644918923506586
70,-8.644918923506586
73,-8.644918923506586
76,-8.644918923506586
79,-8.644918923506586
80,-8.644918923506586
88,-8.644918923506586
92,-8.644918923506586
93,-8.644918923506586
95,-8.644918923506586
96,-8.644918923506586
101,-8.644918923506586
103,-8.644918923506586
106,-8.644918923506586
107,-8.644918923506586
108,-8.644918923506586
119,-8.644918923506586
123,-8.644918923506586
131,-8.644918923506586
135,-8.644918923506586
144,-8.644918923506586
149,-8.644918923506586
169,-8.644918923506586
173,-8.644918923506586
177,-8.644918923506586
185,-8.644918923506586
200,-8.644918923506586
210,-8.644918923506586
214,-8.644918923506586
216,-8.644918923506586
217,-8.644918923506586
218,-8.644918923506586
245,-8.644918923506586
248,-8.644918923506586
251,-8.644918923506586
259,-8.644918923506586
263,-8.644918923506586
265,-8.644918923506586
267,-8.644918923506586
274,-8.644918923506586
286,-8.644918923506586
288,-8.644918923506586
290,-8.644918923506586
291,-8.644918923506586
293,-8.644918923506586
295,-8.644918923506586
299,-8.644918923506586
303,-8.644918923506586
304,-8.644918923506586
311,-8.644918923506586
315,-8.644918923506586
316,-8.644918923506586
318,-8.644918923506586
321,-8.644918923506586
330,-8.644918923506586
333,-8.644918923506586
335,-8.644918923506586
346,-8.644918923506586
349,-8.644918923506586
360,-8.644918923506586
367,-8.644918923506586
373,-8.644918923506586
379,-8.644918923506586
381,-8.644918923506586
388,-8.644918923506586
398,-8.644918923506586
399,-8.644918923506586
407,-8.644918923506586
408,-8.644918923506586
409,-8.644918923506586
410,-8.644918923506586
415,-8.644918923506586
416,-8.644918923506586
424,-8.644918923506586
426,-8.644918923506586
427,-8.644918923506586
428,-8.644918923506586
431,-8.644918923506586
434,-8.644918923506586
439,-8.644918923506586
440,-8.644918923506586
450,-8.644918923506586
457,-8.644918923506586
461,-8.644918923506586
465,-8.644918923506586
467,-8.644918923506586
468,-8.644918923506586
469,-8.644918923506586
472,-8.644918923506586
483,-8.644918923506586
486,-8.644918923506586
487,-8.644918923506586
496,-8.644918923506586
500,-8.644918923506586
510,-8.644918923506586
518,-8.644918923506586
530,-8.644918923506586
532,-8.644918923506586
533,-8.644918923506586
542,-8.644918923506586
543,-8.644918923506586
549,-8.644918923506586
554,-8.644918923506586
562,-8.644918923506586
563,-8.644918923506586
565,-8.644918923506586
567,-8.644918923506586
568,-8.644918923506586
573,-8.644918923506586
576,-8.644918923506586
577,-8.644918923506586
582,-8.644918923506586
586,-8.644918923506586
590,-8.644918923506586
592,-8.644918923506586
605,-8.644918923506586
608,-8.644918923506586
620,-8.644918923506586
621,-8.644918923506586
623,-8.644918923506586
624,-8.644918923506586
633,-8.644918923506586
637,-8.644918923506586
647,-8.644918923506586
651,-8.644918923506586
655,-8.644918923506586
668,-8.644918923506586
673,-8.644918923506586
676,-8.644918923506586
683,-8.644918923506586
694,-8.644918923506586
700,-8.644918923506586
704,-8.644918923506586
708,-8.644918923506586
710,-8.644918923506586
713,-8.644918923506586
714,-8.644918923506586
718,-8.644918923506586
730,-8.644918923506586
733,-8.644918923506586
735,-8.644918923506586
736,-8.644918923506586
740,-8.644918923506586
744,-8.644918923506586
747,-8.644918923506586
756,-8.644918923506586
758,-8.644918923506586
761,-8.644918923506586
764,-8.644918923506586
765,-8.644918923506586
774,-8.644918923506586
777,-8.644918923506586
782,-8.644918923506586
788,-8.644918923506586
794,-8.644918923506586
795,-8.644918923506586
799,-8.644918923506586
819,-8.644918923506586
836,-8.644918923506586
839,-8.644918923506586
850,-8.644918923506586
852,-8.644918923506586
856,-8.644918923506586
866,-8.644918923506586
868,-8.644918923506586
881,-8.644918923506586
883,-8.644918923506586
895,-8.644918923506586
900,-8.644918923506586
902,-8.644918923506586
908,-8.644918923506586
909,-8.644918923506586
914,-8.644918923506586
916,-8.644918923506586
921,-8.644918923506586
927,-8.644918923506586
932,-8.644918923506586
937,-8.644918923506586
952,-8.644918923506586
957,-8.644918923506586
958,-8.644918923506586
960,-8.644918923506586
967,-8.644918923506586
970,-8.644918923506586
971,-8.644918923506586
973,-8.644918923506586
993,-8.644918923506586
1002,-8.644918923506586
1010,-8.644918923506586
1011,-8.644918923506586
1022,-8.644918923506586
1026,-8.644918923506586
1039,-8.644918923506586
1041,-8.644918923506586
1042,-8.644918923506586
1053,-8.644918923506586
1056,-8.644918923506586
1061,-8.644918923506586
1068,-8.644918923506586
1071,-8.644918923506586
1076,-8.644918923506586
1078,-8.644918923506586
1082,-8.644918923506586
1084,-8.644918923506586
1087,-8.644918923506586
1090,-8.644918923506586
1107,-8.644918923506586
1110,-8.644918923506586
1111,-8.644918923506586
1112,-8.644918923506586
1113,-8.644918923506586
1118,-8.644918923506586
1121,-8.644918923506586
1123,-8.644918923506586
1142,-8.644918923506586
1145,-8.644918923506586
1147,-8.644918923506586
1149,-8.644918923506586
1155,-8.644918923506586
1156,-8.644918923506586
1157,-8.644918923506586
1160,-8.644918923506586
1166,-8.644918923506586
1175,-8.644918923506586
1178,-8.644918923506586
1180,-8.644918923506586
1183,-8.644918923506586
1188,-8.644918923506586
1190,-8.644918923506586
1193,-8.644918923506586
1194,-8.644918923506586
1195,-8.644918923506586
1199,-8.644918923506586
1201,-8.644918923506586
1206,-8.644918923506586
1208,-8.644918923506586
1210,-8.644918923506586
1213,-8.644918923506586
1217,-8.644918923506586
1219,-8.644918923506586
1224,-8.644918923506586
1233,-8.644918923506586
1237,-8.644918923506586
1245,-8.644918923506586
1247,-8.644918923506586
1250,-8.644918923506586
1253,-8.644918923506586
1254,-8.644918923506586
1261,-8.644918923506586
1277,-8.644918923506586
1281,-8.644918923506586
1282,-8.644918923506586
1284,-8.644918923506586
1285,-8.644918923506586
1297,-8.644918923506586
1303,-8.644918923506586
1320,-8.644918923506586
1330,-8.644918923506586
1345,-8.644918923506586
1347,-8.644918923506586
1350,-8.644918923506586
1351,-8.644918923506586
1355,-8.644918923506586
1360,-8.644918923506586
1368,-8.644918923506586
1369,-8.644918923506586
1373,-8.644918923506586
1374,-8.644918923506586
1383,-8.644918923506586
1393,-8.644918923506586
1396,-8.644918923506586
1399,-8.644918923506586
1402,-8.644918923506586
1406,-8.644918923506586
1408,-8.644918923506586
1413,-8.644918923506586
1418,-8.644918923506586
1421,-8.644918923506586
1427,-8.644918923506586
1432,-8.644918923506586
1433,-8.644918923506586
1434,-8.644918923506586
1437,-8.644918923506586
1453,-8.644918923506586
1454,-8.644918923506586
1457,-8.644918923506586
1458,-8.644918923506586
1459,-8.644918923506586
1470,-8.644918923506586
1472,-8.644918923506586
1479,-8.644918923506586
1486,-8.644918923506586
1488,-8.644918923506586
1491,-8.644918923506586
1494,-8.644918923506586
1496,-8.644918923506586
1498,-8.644918923506586
1501,-8.644918923506586
1506,-8.644918923506586
1509,-8.644918923506586
1511,-8.644918923506586
1512,-8.644918923506586
1516,-8.644918923506586
1523,-8.644918923506586
1530,-8.644918923506586
1533,-8.644918923506586
1536,-8.644918923506586
1562,-8.644918923506586
1566,-8.644918923506586
1570,-8.644918923506586
1572,-8.644918923506586
1576,-8.644918923506586
1578,-8.644918923506586
1579,-8.644918923506586
1584,-8.644918923506586
1593,-8.644918923506586
1594,-8.644918923506586
1595,-8.644918923506586
1597,-8.644918923506586
1602,-8.644918923506586
1608,-8.644918923506586
1616,-8.644918923506586
1617,-8.644918923506586
1623,-8.644918923506586
1626,-8.644918923506586
1634,-8.644918923506586
1643,-8.644918923506586
1650,-8.644918923506586
1655,-8.644918923506586
1660,-8.644918923506586
1662,-8.644918923506586
1669,-8.644918923506586
1670,-8.644918923506586
1671,-8.644918923506586
1683,-8.644918923506586
1688,-8.644918923506586
1691,-8.644918923506586
1692,-8.644918923506586
1701,-8.644918923506586
1703,-8.644918923506586
1710,-8.644918923506586
1713,-8.644918923506586
1718,-8.644918923506586
1720,-8.644918923506586
1722,-8.644918923506586
1730,-8.644918923506586
1731,-8.644918923506586
1732,-8.644918923506586
1740,-8.644918923506586
1744,-8.644918923506586
1746,-8.644918923506586
1747,-8.644918923506586
1758,-8.644918923506586
1766,-8.644918923506586
1768,-8.644918923506586
1775,-8.644918923506586
1780,-8.644918923506586
1783,-8.644918923506586
1785,-8.644918923506586
1786,-8.644918923506586
1791,-8.644918923506586
1793,-8.644918923506586
1795,-8.644918923506586
1803,-8.644918923506586
1805,-8.644918923506586
1807,-8.644918923506586
1825,-8.644918923506586
1833,-8.644918923506586
1835,-8.644918923506586
1839,-8.644918923506586
1844,-8.644918923506586
1845,-8.644918923506586
1851,-8.644918923506586
1862,-8.644918923506586
1864,-8.644918923506586
1870,-8.644918923506586
1883,-8.644918923506586
1885,-8.644918923506586
1889,-8.644918923506586
1891,-8.644918923506586
1896,-8.644918923506586
1904,-8.644918923506586
1905,-8.644918923506586
1923,-8.644918923506586
1935,-8.644918923506586
1941,-8.644918923506586
1950,-8.644918923506586
1952,-8.644918923506586
1953,-8.644918923506586
1954,-8.644918923506586
1964,-8.644918923506586
1965,-8.644918923506586
1971,-8.644918923506586
1978,-8.644918923506586
1981,-8.644918923506586
1983,-8.644918923506586
1984,-8.644918923506586
2009,-8.644918923506586
2012,-8.644918923506586
2015,-8.644918923506586
2018,-8.644918923506586
2020,-8.644918923506586
2021,-8.644918923506586
2030,-8.644918923506586
2034,-8.644918923506586
2036,-8.644918923506586
2039,-8.644918923506586
2046,-8.644918923506586
2055,-8.644918923506586
2069,-8.644918923506586
2075,-8.644918923506586
2085,-8.644918923506586
2087,-8.644918923506586
2088,-8.644918923506586
2102,-8.644918923506586
2107,-8.644918923506586
2108,-8.644918923506586
2109,-8.644918923506586
2119,-8.644918923506586
2124,-8.644918923506586
2127,-8.644918923506586
2128,-8.644918923506586
2140,-8.644918923506586
2142,-8.644918923506586
2145,-8.644918923506586
2150,-8.644918923506586
2152,-8.644918923506586
2154,-8.644918923506586
2157,-8.644918923506586
2167,-8.644918923506586
2168,-8.644918923506586
2174,-8.644918923506586
2183,-8.644918923506586
2184,-8.644918923506586
2189,-8.644918923506586
2191,-8.644918923506586
2199,-8.644918923506586
2210,-8.644918923506586
2211,-8.644918923506586
2214,-8.644918923506586
2215,-8.644918923506586
2216,-8.644918923506586
2221,-8.644918923506586
2227,-8.644918923506586
2232,-8.644918923506586
2236,-8.644918923506586
2238,-8.644918923506586
2239,-8.644918923506586
2245,-8.644918923506586
2249,-8.644918923506586
2252,-8.644918923506586
2254,-8.644918923506586
2260,-8.644918923506586
2270,-8.644918923506586
2271,-8.644918923506586
2288,-8.644918923506586
2301,-8.644918923506586
2310,-8.644918923506586
2312,-8.644918923506586
2318,-8.644918923506586
2325,-8.644918923506586
2328,-8.644918923506586
2337,-8.644918923506586
2340,-8.644918923506586
2344,-8.644918923506586
2348,-8.644918923506586
2351,-8.644918923506586
2357,-8.644918923506586
2360,-8.644918923506586
2367,-8.644918923506586
2372,-8.644918923506586
2377,-8.644918923506586
2388,-8.644918923506586
2389,-8.644918923506586
2390,-8.644918923506586
2391,-8.644918923506586
2392,-8.644918923506586
2405,-8.644918923506586
2406,-8.644918923506586
2407,-8.644918923506586
2412,-8.644918923506586
2417,-8.644918923506586
2422,-8.644918923506586
2425,-8.644918923506586
2439,-8.644918923506586
2447,-8.644918923506586
2452,-8.644918923506586
2453,-8.644918923506586
2455,-8.644918923506586
2457,-8.644918923506586
2458,-8.644918923506586
2459,-8.644918923506586
2464,-8.644918923506586
2465,-8.644918923506586
2471,-8.644918923506586
2473,-8.644918923506586
2474,-8.644918923506586
2478,-8.644918923506586
2483,-8.644918923506586
2485,-8.644918923506586
2487,-8.644918923506586
2492,-8.644918923506586
2498,-8.644918923506586
2507,-8.644918923506586
2514,-8.644918923506586
2516,-8.644918923506586
2517,-8.644918923506586
2519,-8.644918923506586
2522,-8.644918923506586
2527,-8.644918923506586
2531,-8.644918923506586
2564,-8.644918923506586
